date,cash,stock,depot_value,holding,flag,prediction
2024-12-01,852.2259283275214,0.0,852.2259283275214,902.8820575244688,Hold,-0.1229066376513571
2024-12-02,852.2259283275214,0.0,852.2259283275214,903.3545599095438,Hold,-0.4683204835127218
2024-12-03,0.0,851.2259283275214,851.2259283275214,903.4595604395604,Buy,1.421658332475966
2024-12-04,0.0,884.5817965529617,884.5817965529617,938.8622391434932,Hold,0.1573135914996614
2024-12-05,0.0,887.4342756449049,887.4342756449049,941.8897544256388,Hold,0.3427145578753015
2024-12-06,910.7380570409994,0.0,910.7380570409994,967.684884633052,Sell,-3.511787767936549
2024-12-07,910.7380570409994,0.0,910.7380570409994,967.684884633052,Hold,0.112094221275392
2024-12-08,910.7380570409994,0.0,910.7380570409994,967.684884633052,Hold,-0.6590889730479815
2024-12-09,910.7380570409994,0.0,910.7380570409994,958.8823401999928,Hold,-0.2753139418793139
2024-12-10,0.0,909.7380570409994,909.7380570409994,957.342332426416,Buy,0.8091941385042973
2024-12-11,913.5274649640012,0.0,913.5274649640012,962.3823578672132,Sell,-0.8071264792859435
2024-12-12,913.5274649640012,0.0,913.5274649640012,830.6066926963713,Sell,-11.038590021377711
2024-12-13,913.5274649640012,0.0,913.5274649640012,814.9616137238968,Sell,-2.713128388124396
2024-12-14,913.5274649640012,0.0,913.5274649640012,814.9616137238968,Hold,3.0996808845813737
2024-12-15,913.5274649640012,0.0,913.5274649640012,814.9616137238968,Hold,2.4700191916705774
2024-12-16,913.5274649640012,0.0,913.5274649640012,807.6815769760786,Sell,-1.7297367630709768
2024-12-17,0.0,912.5274649640012,912.5274649640012,796.656521324335,Buy,0.8272880416042585
2024-12-18,0.0,884.6242461245159,884.6242461245159,772.2963983604822,Buy,0.8740501092679052
2024-12-19,875.7664431179942,0.0,875.7664431179942,765.4363637327305,Sell,-3.223765722242711
2024-12-20,875.7664431179942,0.0,875.7664431179942,782.5514501254374,Sell,-1.5038632187385788
2024-12-21,875.7664431179942,0.0,875.7664431179942,782.5514501254374,Hold,-3.0653812664286857
2024-12-22,875.7664431179942,0.0,875.7664431179942,782.5514501254374,Hold,-1.43007188628065
2024-12-23,875.7664431179942,0.0,875.7664431179942,781.7989463269851,Sell,-1.351885816301833
2024-12-24,875.7664431179942,0.0,875.7664431179942,783.8989569273173,Hold,-0.351176622323132
2024-12-25,875.7664431179942,0.0,875.7664431179942,783.8989569273173,Hold,0.0968595476672307
2024-12-26,875.7664431179942,0.0,875.7664431179942,787.7839765379318,Hold,0.2911085590806317
2024-12-27,875.7664431179942,0.0,875.7664431179942,781.3439440302466,Sell,-1.3584424534528878
2024-12-28,875.7664431179942,0.0,875.7664431179942,781.3439440302466,Hold,0.8201265445819411
2024-12-29,875.7664431179942,0.0,875.7664431179942,781.3439440302466,Hold,0.4748424680053861
2024-12-30,875.7664431179942,0.0,875.7664431179942,780.1539380233917,Hold,0.3354419714727515
2024-12-31,875.7664431179942,0.0,875.7664431179942,778.1939281297483,Hold,0.4815040440068794
2025-01-01,875.7664431179942,0.0,875.7664431179942,778.1939281297483,Hold,-0.1511484560466477
2025-01-02,875.7664431179942,0.0,875.7664431179942,771.753895622063,Hold,0.0041078260996598
2025-01-03,875.7664431179942,0.0,875.7664431179942,753.5013034875095,Sell,-0.8394476339003922
2025-01-04,875.7664431179942,0.0,875.7664431179942,753.5013034875095,Hold,-1.3376968823911572
2025-01-05,875.7664431179942,0.0,875.7664431179942,753.5013034875095,Hold,-4.346451668659678
2025-01-06,875.7664431179942,0.0,875.7664431179942,754.5688088760118,Sell,-1.9186905822404283
2025-01-07,0.0,874.7664431179942,874.7664431179942,739.6062333486452,Buy,3.502064645577866
2025-01-08,867.4535035455315,0.0,867.4535035455315,734.2687064061344,Sell,-4.495636034311071
2025-01-09,867.4535035455315,0.0,867.4535035455315,734.2687064061344,Hold,0.1260785717910649
2025-01-10,867.4535035455315,0.0,867.4535035455315,710.3635857390202,Sell,-1.4505841766943892
2025-01-11,867.4535035455315,0.0,867.4535035455315,710.3635857390202,Hold,-5.18014950588104
2025-01-12,867.4535035455315,0.0,867.4535035455315,710.3635857390202,Hold,-4.41524896415662
2025-01-13,867.4535035455315,0.0,867.4535035455315,714.8786085297343,Sell,-3.8364684041077113
2025-01-14,867.4535035455315,0.0,867.4535035455315,722.2461457192328,Sell,-1.563493108147694
2025-01-15,0.0,866.4535035455315,866.4535035455315,730.243686088831,Buy,4.571830679229754
2025-01-16,0.0,886.4910713877823,886.4910713877823,747.1312713331688,Buy,1.3878970361409813
2025-01-17,0.0,892.8449530040814,892.8449530040814,752.4862983640157,Buy,1.5129087853332852
2025-01-18,0.0,892.8449530040814,892.8449530040814,752.4862983640157,Hold,-2.2197252077671714
2025-01-19,0.0,892.8449530040814,892.8449530040814,752.4862983640157,Hold,-0.8718647564243154
2025-01-20,0.0,892.8449530040814,892.8449530040814,752.4862983640157,Hold,-0.3420030056258955
2025-01-21,0.0,906.0718242118676,906.0718242118676,763.6338546341121,Buy,0.7074040574849849
2025-01-23,0.0,907.9821415605588,907.9821415605588,765.2438627610334,Hold,-0.1137858402966401
2025-01-24,903.0369209491312,0.0,903.0369209491312,761.9188459771741,Sell,-0.777206831248724
2025-01-25,903.0369209491312,0.0,903.0369209491312,761.9188459771741,Hold,-0.1371249963890213
2025-01-26,903.0369209491312,0.0,903.0369209491312,761.9188459771741,Hold,-0.3245948665366676
2025-01-27,903.0369209491312,0.0,903.0369209491312,767.5538744213987,Hold,-0.0909622316397613
2025-01-28,903.0369209491312,0.0,903.0369209491312,774.9739118759055,Hold,-0.2401860058670123
2025-01-30,0.0,902.0369209491312,902.0369209491312,780.5039397901136,Buy,0.5624094872909045
2025-01-31,0.0,884.7445091237611,884.7445091237611,765.541364262747,Hold,0.1184192398635708
2025-02-01,0.0,884.7445091237611,884.7445091237611,765.541364262747,Hold,-0.4424104085528482
2025-02-02,0.0,884.7445091237611,884.7445091237611,765.541364262747,Hold,-0.3261398364941362
2025-02-03,886.070389076881,0.0,886.070389076881,767.5538744213986,Sell,-0.5362316720693373
2025-02-04,886.070389076881,0.0,886.070389076881,770.4063888201832,Hold,-0.1616997029456197
2025-02-05,886.070389076881,0.0,886.070389076881,765.8563658527969,Hold,-0.0756307720305447
2025-02-06,886.070389076881,0.0,886.070389076881,761.9538461538464,Sell,-0.5765850519711155
2025-02-07,886.070389076881,0.0,886.070389076881,757.8763255715348,Hold,-0.319423463033409
2025-02-08,886.070389076881,0.0,886.070389076881,757.8763255715348,Hold,0.404453963066704
2025-02-09,886.070389076881,0.0,886.070389076881,757.8763255715348,Hold,0.1510539269142599
2025-02-10,0.0,885.070389076881,885.070389076881,789.4289848415253,Buy,0.8602814328191754
2025-02-11,0.0,900.2172376773543,900.2172376773543,802.9390530369955,Buy,1.8032128139313035
2025-02-12,906.947624139254,0.0,906.947624139254,809.8340878414193,Sell,-1.6615193125832526
2025-02-13,0.0,905.947624139254,905.947624139254,803.6390565704396,Buy,0.9100522600010869
2025-02-14,0.0,907.802052880796,907.802052880796,805.2840648740331,Buy,0.631299335530265
2025-02-15,0.0,907.802052880796,907.802052880796,805.2840648740331,Hold,0.6948072098378524
2025-02-16,0.0,907.802052880796,907.802052880796,805.2840648740331,Hold,1.0239497327459033
2025-02-17,0.0,907.802052880796,907.802052880796,805.2840648740331,Hold,-0.1154885216354546
2025-02-18,0.0,915.5945991883394,915.5945991883394,812.196599766793,Buy,0.7373731097495244
2025-02-19,900.5482878694258,0.0,900.5482878694258,799.736536871489,Sell,-1.3700429447807416
2025-02-20,900.5482878694258,0.0,900.5482878694258,795.7115165541857,Sell,-1.2749662680685572
2025-02-21,900.5482878694258,0.0,900.5482878694258,777.5639249496487,Hold,-0.4835017342190765
2025-02-22,900.5482878694258,0.0,900.5482878694258,777.5639249496487,Hold,0.7828859917788995
2025-02-23,900.5482878694258,0.0,900.5482878694258,777.5639249496487,Hold,1.091452306841416
2025-02-24,900.5482878694258,0.0,900.5482878694258,777.7389258330098,Hold,0.4292590014432937
2025-02-25,900.5482878694258,0.0,900.5482878694258,775.9714169110637,Hold,0.3644227442219467
2025-02-26,900.5482878694258,0.0,900.5482878694258,772.6289000388683,Hold,-0.2974464847364299
2025-02-27,900.5482878694258,0.0,900.5482878694258,765.0863619660087,Hold,-0.00986985659721
2025-02-28,900.5482878694258,0.0,900.5482878694258,767.4838740680545,Hold,0.36290741027594187
